#;NAME;FOLLOWERS;ER;COUNTRY;TOPIC OF INFLUENCE;POTENTIAL REACH;Channel ID;Subscribers;Total Videos;Total Views
1;Die Antwoord @UC6DicDItkLQ7N4ag1JS5mqg;3.3M;1.3%;South Africa;;978K;UC6DicDItkLQ7N4ag1JS5mqg;3390000;130;1213218659
2;Noel Deyzel @UCMp-0bU-PA7BNNR-zIvEydA;2.9M;-;South Africa;;864K;UCMp-0bU-PA7BNNR-zIvEydA;6860000;403;3232391933
3;Openmic Productions @UCzMzPGGVKpjZAJy1aOAUieA;2.4M;-;South Africa;Marketing and Advertising Music;732K;UCzMzPGGVKpjZAJy1aOAUieA;3070000;674;1420496098
4;The Supa Strikas - Kids Soccer Cartoon @UCdtojT_ZwTRlZThoBSMVhoQ;2M;-;South Africa;;597K;UCdtojT_ZwTRlZThoBSMVhoQ;2760000;1467;1321393264
5;Boomerang Africa @UCgGq2xHDvUHSUzs7VOIdKKw;2M;-;South Africa;;594K;UCgGq2xHDvUHSUzs7VOIdKKw;2090000;932;594874287
6;Cartoon Network Africa @UCYXAcMNZRdYkR-vKV3OO1DQ;1.9M;-;South Africa;Travel Video Gaming;555K;UCYXAcMNZRdYkR-vKV3OO1DQ;2560000;2626;1637692586
7;SABC News @UC8yH-uI81UUtEMDsowQyx1g;1.6M;-;South Africa;;480K;UC8yH-uI81UUtEMDsowQyx1g;2720000;237889;1442941377
8;Pastor Alph Lukau @UCmBMGitwFg3dDFNtOSQT1JQ;1.5M;-;South Africa;;435K;UCmBMGitwFg3dDFNtOSQT1JQ;1660000;6700;432674660
9;Hayls World @haylsworld;1.3M;0.4%;South Africa;;393K;UC3xgevNpGmAgWpdjtTXR20w;6300000;777;5524776226
10;Wian @UC3xgevNpGmAgWpdjtTXR20w;1.2M;-;South Africa;;360K;UCQ1hYup0TxMjuGInZFkftzA;1230000;331;197697573
11;DJ Arch Jnr @UCQ1hYup0TxMjuGInZFkftzA;1.2M;-;South Africa;;345K;UCFy846QdKs3LbLgBpSqPcdg;2990000;233;711310650
12;The Kiffness @UCFy846QdKs3LbLgBpSqPcdg;1.2M;2.7%;South Africa;;345K;UC3SIm-UNl4Ou381-PYKzU8w;1140000;1962;527461824
13;michael jamison @UC3SIm-UNl4Ou381-PYKzU8w;1.1M;-;South Africa;Pets;342K;UCEZ6QFA7F37E--lqew7wbAQ;1440000;380;314871692
14;OMFilms @UCEZ6QFA7F37E--lqew7wbAQ;1.1M;-;South Africa;;333K;UC01ompoZ0RMCuWP2ZODqzbg;1340000;209;301816953
15;Nasty_C @UC01ompoZ0RMCuWP2ZODqzbg;947K;0.4%;South Africa;;284.1K;UCVTDsWA7ItkDj9vt9Kt_oCw;1110000;652;461198649
16;Spirittunez @UCVTDsWA7ItkDj9vt9Kt_oCw;942K;-;South Africa;;282.6K;UCSEibSG6dlUJvkC40IpNMRQ;1300000;9761;660771206
17;MzansiMagicOfficial @UCSEibSG6dlUJvkC40IpNMRQ;931K;-;South Africa;;279.3K;UC07qAfGd_Tqu8xRG6yPtw3A;1090000;519;55658052
18;DLM Men's Lifestyle @UC07qAfGd_Tqu8xRG6yPtw3A;863K;-;South Africa;;258.9K;UCrwNyJioqAkfjQgqpQE-VtA;803000;341;295281845
19;Steegs Vlogs @UCrwNyJioqAkfjQgqpQE-VtA;863K;-;South Africa;;258.9K;UCdxk_T-82-s_J4ChPpw2sdg;1020000;4013;235873614
20;Zee World Africa @UCdxk_T-82-s_J4ChPpw2sdg;829K;-;South Africa;;248.7K;UCedZvSQVma70F1O67NOuYZw;1130000;416;385355633
21;MDM Sketch Comedy @UCedZvSQVma70F1O67NOuYZw;803K;-;South Africa;;240.9K;UC5QOxgivpL-StHjEaEu92gg;960000;2363;618176914
22;Zee TV Africa @UC5QOxgivpL-StHjEaEu92gg;802K;-;South Africa;;240.6K;UCZfPrUL62TN74Mmrn-O_pZQ;892000;149;47534888
23;Dan Mace @UCZfPrUL62TN74Mmrn-O_pZQ;795K;0.4%;South Africa;;238.5K;UC7BXdXFxVgMPKmBeDgx2QrQ;1490000;2297;336958529
24;MacG @UC7BXdXFxVgMPKmBeDgx2QrQ;770K;1.3%;South Africa;;231K;UCVbVao4QtBLarbX01DX9YRg;1010000;331;125405345
25;Lasizwe Dambuza @UCVbVao4QtBLarbX01DX9YRg;763K;0.3%;South Africa;;228.9K;UCniUHTOy5nONQG1M4sSIHQg;977000;608;586349840
26;Ambitiouz Entertainment @UCniUHTOy5nONQG1M4sSIHQg;736K;0.2%;South Africa;;220.8K;UCgyz0qRzl96ydHBxkPD1pBw;949000;261;146086023
27;Mziiki @UCgyz0qRzl96ydHBxkPD1pBw;715K;-;South Africa;;214.5K;UCo5K4hzIXcf2qhFAQpwUdxg;747000;153;275737267
28;Caitlin De Ville @UCo5K4hzIXcf2qhFAQpwUdxg;703K;0.2%;South Africa;;210.9K;UCazIPE4aYxzcAjaBoSspLHw;989000;353;247002797
29;MajorLeagueDjz @UCazIPE4aYxzcAjaBoSspLHw;687K;0.4%;South Africa;;206.1K;UC88vhhMsuOtE7hk2Ys_YEuA;728000;67;34667753
30;Zeus Studios @UC88vhhMsuOtE7hk2Ys_YEuA;658K;-;South Africa;;197.4K;UCcbBHQXuSkw8Me1vnY-u4bw;751000;1618;75200044
31;Prophet Shepherd Bushiri @UCcbBHQXuSkw8Me1vnY-u4bw;637K;-;South Africa;;191.1K;UCzevPCfP7MtRqOB0ZkU5cwg;694000;2410;96523956
32;Cricket South Africa @UCzevPCfP7MtRqOB0ZkU5cwg;578K;-;South Africa;;173.4K;UCKLSjhp6XZUEYDT1DMcrj8w;723000;1707;23180709
33;Make Afrika Great @UCKLSjhp6XZUEYDT1DMcrj8w;540K;-;South Africa;;162K;UCIYIqQy8QwD5MEOachFjr6A;682000;458;165459987
34;LEON GUMEDE @UCIYIqQy8QwD5MEOachFjr6A;518K;-;South Africa;;155.4K;UC_jBXeWtwdqV14jldwAgsWg;727000;77;154642201
35;Lloyiso @UC_jBXeWtwdqV14jldwAgsWg;510K;-;South Africa;;153K;UCTnXL2SKHAo0fHVW1WSaqfw;554000;2765;120485914
36;Evangelist Gabriel Fernandes @UCTnXL2SKHAo0fHVW1WSaqfw;493K;0.3%;South Africa;;147.9K;UC8WD329DJWB2DTYLQTUpUuw;739000;1087;87984579
37;Zee Magic @UC8WD329DJWB2DTYLQTUpUuw;487K;-;South Africa;;146.1K;UCFLqqGVE_E8G3Sn-nhKmkAQ;479000;99;24413757
38;90 Second IQ Boosters @UCFLqqGVE_E8G3Sn-nhKmkAQ;472K;-;South Africa;;141.6K;UCDjBqVmjUMFipzcINJbgOVQ;684000;81;177145227
39;Ramscomics @UCDjBqVmjUMFipzcINJbgOVQ;459K;2.9%;South Africa;;137.7K;UCV6HJBZD_hZcIX9JVJ3dCXQ;673000;12076;311989082
40;WildEarth @UCV6HJBZD_hZcIX9JVJ3dCXQ;456K;-;South Africa;Video Gaming;136.8K;UCAVmHjQH2rGQ58MGEPlLSWA;462000;1733;10010032
41;you belong @UCAVmHjQH2rGQ58MGEPlLSWA;455K;-;South Africa;;136.5K;UCSUcdHS_ZyQmqTgKXhJ3RxQ;425000;4;44516
42;MaroGamingStudio8k @UCSUcdHS_ZyQmqTgKXhJ3RxQ;450K;-;South Africa;;135K;UCry5EFdbEMavAhQZht_nVbw;1220000;849;568734630
43;MalaMala Game Reserve @UCry5EFdbEMavAhQZht_nVbw;437K;-;South Africa;Video Gaming;131.1K;UCFXyVm03fMlzI4B4sQkDtBA;761000;111;253823531
44;Dj Maphorisa @UCFXyVm03fMlzI4B4sQkDtBA;424K;3.3%;South Africa;;127.2K;UC1ez5vPW1WtzXLd1G18XI3w;506000;247;45299353
45;Jono Dry @UC1ez5vPW1WtzXLd1G18XI3w;411K;0.3%;South Africa;;123.3K;UCWhkEFN9UXdV2zFFZvP7O0A;456000;217;37630976
46;Mihlali N @UCWhkEFN9UXdV2zFFZvP7O0A;394K;2.4%;South Africa;;118.2K;UCK81mcGq-hLp3oqYG6dOcaw;470000;652;140850539
47;TechNick @UCK81mcGq-hLp3oqYG6dOcaw;391K;0.5%;South Africa;Technology;117.3K;UCRuStbjeDvthcvGcr1XO82Q;547000;260;173520420
48;Mr. Bow @UCRuStbjeDvthcvGcr1XO82Q;384K;-;South Africa;;115.2K;UCIqNOMtvwCM3vwFi38WvQ5g;420000;1500;163472449
49;IdolsSA @UCIqNOMtvwCM3vwFi38WvQ5g;381K;-;South Africa;;114.3K;UCnHspqMx6eWIgCQfExI4Rdg;377000;2783;10545062
50;SABC Education Shows @UCnHspqMx6eWIgCQfExI4Rdg;370K;-;South Africa;;111K;UCexgibQk1N1h5VILnh0lXTw;971000;220;226862300
51;Sasenathi Studios @UCexgibQk1N1h5VILnh0lXTw;370K;2%;South Africa;Celebrity;111K;UCAG4-W08jyodx28VmG-xxMw;453000;2627;245456382
52;1 Magic @UCAG4-W08jyodx28VmG-xxMw;356K;-;South Africa;;106.8K;UCzi3g9ade6lq-nGjShQOJJg;548000;1249;101321881
53;AfricaOnNetflix @UCzi3g9ade6lq-nGjShQOJJg;356K;-;South Africa;;106.8K;UCZBIKNpYXxh-Hl7vf7swyLQ;442000;4745;206593310
54;BOLO HOUSE MUSIC @UCZBIKNpYXxh-Hl7vf7swyLQ;348K;-;South Africa;;104.4K;UCz4AXmFeSbi-0vPXI102Q5w;808000;2891;203428259
55;Muslim Central @UCz4AXmFeSbi-0vPXI102Q5w;346K;-;South Africa;;103.8K;UCYxhhlA-a4_9241xgN6_hdg;530000;1463;236755295
56;Kruger Park Sightings @UCYxhhlA-a4_9241xgN6_hdg;345K;-;South Africa;;103.5K;UC7OJqnWqGY9GTXjYatkQEPQ;404000;308;66624342
57;Skits By Sphe @UC7OJqnWqGY9GTXjYatkQEPQ;341K;0.6%;South Africa;;102.3K;UCCD_GyqAJ2w5UpH9R4yIEjw;552000;187;60903000
58;Reinhardt Buhr @UCCD_GyqAJ2w5UpH9R4yIEjw;328K;-;South Africa;;98.4K;UCZsEDryBFbqJ_oeOZB__hNw;431000;29;111153975
59;Cassper Nyovest @UCZsEDryBFbqJ_oeOZB__hNw;327K;-;South Africa;;98.1K;UCwIa8TXPdIdczCTkgdGvlSQ;377000;166;45129457
60;Gemini Blessed TV @UCwIa8TXPdIdczCTkgdGvlSQ;326K;-;South Africa;;97.8K;UC3oFJp8_9KniTt_31-GcQKA;360000;312;20702848
61;Sean Kitching @UC3oFJp8_9KniTt_31-GcQKA;319K;0.1%;South Africa;;95.7K;UCUodELQsFwF8dq0X-bK9FQQ;432000;223;23298882
62;In Depth Cine @UCUodELQsFwF8dq0X-bK9FQQ;318K;-;South Africa;;95.4K;UCB-mfYAd3oJLEkoMxjRAxbg;434000;1122;146377681
63;Cars.co.za @UCB-mfYAd3oJLEkoMxjRAxbg;314K;0.1%;South Africa;Automotive;94.2K;UCDPicZC2OZKhd4ZhpeS1Mlw;401000;524;187014598
64;Anton Koen @UCDPicZC2OZKhd4ZhpeS1Mlw;312K;0.2%;South Africa;;93.6K;UClHh8adR12eC41xCPPuBmBQ;2750000;572;1118126171
65;William Last KRM @UClHh8adR12eC41xCPPuBmBQ;311K;0.2%;South Africa;;93.3K;UC7Zn__KZqh8QFA-PGnpJcOg;318000;154;6666872
66;SamupertyZuluTV @UC7Zn__KZqh8QFA-PGnpJcOg;306K;0.9%;South Africa;;91.8K;UCG9iFxTnt5MapeJ0rz7AJFA;418000;1759;45271768
67;United Oromia @UCG9iFxTnt5MapeJ0rz7AJFA;295K;-;South Africa;Celebrity Music;88.5K;UCqyuB-Y1zGRwO8wRNYGW92A;382000;4;135499010
68;Mafikizolo @UCqyuB-Y1zGRwO8wRNYGW92A;292K;16.4%;South Africa;;87.6K;UC-NUnxjx_g2Chj4riFdpDmw;282000;1;185
69;RockSteady Creatives @UC-NUnxjx_g2Chj4riFdpDmw;288K;-;South Africa;;86.4K;UCX80qmC9baw6HXrSjfybdmQ;711000;814;118478022
70;We Love Africa @UCX80qmC9baw6HXrSjfybdmQ;284K;-;South Africa;;85.2K;UCSyGLZWpjz1hsIUvwAu9gaQ;688000;169;224755914
71;Makhadzi @UCSyGLZWpjz1hsIUvwAu9gaQ;283K;2.3%;South Africa;;84.9K;UCjOfF7d911dLcJWRavezk8A;355000;668;145514737
72;Jack Bohloko @UCjOfF7d911dLcJWRavezk8A;279K;-;South Africa;;83.7K;UCR7jIlutgJoNfcqq4GDoH2w;326000;43;165003468
73;Prince Kaybee @UCR7jIlutgJoNfcqq4GDoH2w;277K;-;South Africa;;83.1K;UCrwTExTkzOhMYkisQRHC2rg;617000;3611;155097624
74;Showmax @UCrwTExTkzOhMYkisQRHC2rg;266K;-;South Africa;;79.8K;UCAdL_OJQ8El-Yxye0FE4jeQ;468000;67;135776932
75;Mr JazziQ @UCAdL_OJQ8El-Yxye0FE4jeQ;263K;2.3%;South Africa;;78.9K;UCkOpz7yI4B2BG9s0GhlHEYQ;294000;335;23158193
76;beautarie @UCkOpz7yI4B2BG9s0GhlHEYQ;261K;-;South Africa;;78.3K;UCBjwqkvxKq_acOSLRMgzp9g;314000;65;66063486
77;Johan Swanepoel @UCBjwqkvxKq_acOSLRMgzp9g;256K;-;South Africa;;76.8K;UC72Q1TW6NVbcpt604NgX5KQ;320000;413;32552233
78;Mpoomy Ledwaba @UC72Q1TW6NVbcpt604NgX5KQ;254K;-;South Africa;Music;76.2K;UCVDPmj45l94H_bsum7mfnGw;244000;109;33909687
79;Cream Puff @UCVDPmj45l94H_bsum7mfnGw;254K;-;South Africa;;76.2K;UCbgAsqAJYbNW3RdgIfjy67g;278000;178;92178103
80;Wild Africa Adventure Films @UCbgAsqAJYbNW3RdgIfjy67g;247K;-;South Africa;;74.1K;UC4gbCGiEov1VAcOFpfGKPiA;268000;10;20086103
81;Built IRL @UC4gbCGiEov1VAcOFpfGKPiA;245K;-;South Africa;;73.5K;UCpEquK2QpZrwIFzxwnr9-Gg;325000;231;32233984
82;Kay Yarms @UCpEquK2QpZrwIFzxwnr9-Gg;244K;5.3%;South Africa;;73.2K;UCqQFGn61VFpAODl5ZLiCGKA;621000;174;229861013
83;Inkabi Records @UCqQFGn61VFpAODl5ZLiCGKA;235K;7.5%;South Africa;;70.5K;UCTKqP0KbvbRlnGKzcwfrWAw;278000;28;13539316
84;Xhosanostra TV @UCTKqP0KbvbRlnGKzcwfrWAw;235K;2.7%;South Africa;;70.5K;UCAIks49asygzUcmov8B10BQ;0;0;0
85;Emotional reader @UCAIks49asygzUcmov8B10BQ;234K;-;South Africa;;70.2K;UCSWAzxal9yd3RH15d0a9nNw;593000;460;143154614
86;Mzansi Fresh Dancers @UCSWAzxal9yd3RH15d0a9nNw;232K;0.6%;South Africa;;69.6K;UCMkrN4gjvV7zslL_Kl8tSCQ;246000;447;69359515
87;Game Drive Channel @UCMkrN4gjvV7zslL_Kl8tSCQ;231K;-;South Africa;;69.3K;UCCvzuJsuwojJnSQwmUKan4Q;266000;470;142786409
88;MUTHALAND TV @UCCvzuJsuwojJnSQwmUKan4Q;230K;-;South Africa;;69K;UCgK0ISOrgUkitGvKo4c9Wfg;466000;4527;121517873
89;DStv @UCgK0ISOrgUkitGvKo4c9Wfg;230K;-;South Africa;;69K;UChCc2cTYSxDjUafGQSRmaDw;281000;890;20041393
90;Lesiba Mothupi @UChCc2cTYSxDjUafGQSRmaDw;225K;0.4%;South Africa;;67.5K;UCUXL7_cdSqJiZn_XqMkUaww;0;0;0
91;Kusemek @UCUXL7_cdSqJiZn_XqMkUaww;223K;-;South Africa;;66.9K;UC8mfwn3nN1_vRnJ1s1HWnEQ;329000;695;76952290
92;Tio Yado Humorista Arte Tv @UC8mfwn3nN1_vRnJ1s1HWnEQ;222K;-;South Africa;;66.6K;UCO-NoPS5l1g1cvbqp8lYHpQ;326000;172;147694309
93;Koko Records @UCO-NoPS5l1g1cvbqp8lYHpQ;217K;1%;South Africa;;65.1K;UCzHueSosfT92NUVmhrz7Hjw;268000;140;20381573
94;Woodshop Junkies @UCzHueSosfT92NUVmhrz7Hjw;217K;1%;South Africa;;65.1K;UCkOVK-tMYtEITJkzsnm-uUg;265000;53;39159385
95;Sho Madjozi @UCkOVK-tMYtEITJkzsnm-uUg;215K;-;South Africa;;64.5K;UCjA1wdpqvS6yxHVdV1rxedQ;275000;71;75884689
96;Elaine @UCjA1wdpqvS6yxHVdV1rxedQ;214K;-;South Africa;;64.2K;UC3t8OVRjPKHowGxmTzxs6qA;239000;516;137492668
97;Tekweni @UC3t8OVRjPKHowGxmTzxs6qA;213K;-;South Africa;;63.9K;UCL5MgQS6VbE9DOwi-R5Vh6w;305000;369;114046322
98;Detormentis @UCL5MgQS6VbE9DOwi-R5Vh6w;210K;-;South Africa;;63K;UC_ayO9NLpGuhCvxnWZ0KwYw;282000;6833;44440802
99;Mindset @UC_ayO9NLpGuhCvxnWZ0KwYw;208K;-;South Africa;;62.4K;UCZslbJ9Nu1TS4y6kqEtERXg;482000;4880;118716848
100;BET International @UCZslbJ9Nu1TS4y6kqEtERXg;207K;-;South Africa;;62.1K;;;;
